AnnoA;GruppoNOME;SESSO;Imm;note
2013/2014;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;20767;
2013/2014;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;4239;
2013/2014;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1871;
2012/2013;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1089;
2012/2013;Educazione e Formazione                                                                                                                                                                                                                                   ;F;11715;
2012/2013;Arte e Design                                                                                                                                                                                                                                             ;M;2384;
2012/2013;Arte e Design                                                                                                                                                                                                                                             ;F;5683;
2012/2013;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;3934;
2012/2013;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;6569;
2012/2013;Linguistico                                                                                                                                                                                                                                               ;M;3711;
2012/2013;Linguistico                                                                                                                                                                                                                                               ;F;15491;
2012/2013;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;7827;
2012/2013;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;11524;
2012/2013;Psicologico                                                                                                                                                                                                                                               ;M;1699;
2012/2013;Psicologico                                                                                                                                                                                                                                               ;F;6227;
2012/2013;Economico                                                                                                                                                                                                                                                 ;M;20794;
2012/2013;Economico                                                                                                                                                                                                                                                 ;F;18890;
2012/2013;Giuridico                                                                                                                                                                                                                                                 ;M;10245;
2012/2013;Giuridico                                                                                                                                                                                                                                                 ;F;16637;
2012/2013;Scientifico                                                                                                                                                                                                                                               ;M;11989;
2012/2013;Scientifico                                                                                                                                                                                                                                               ;F;17709;
2012/2013;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;4044;
2012/2013;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;656;
2012/2013;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;8791;
2012/2013;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;6530;
2012/2013;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;23865;
2012/2013;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;6429;
2012/2013;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4559;
2012/2013;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;4577;
2012/2013;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;9990;
