AnnoA;AteneoNOME;AteneoCOD;SESSO;Isc
2018/2019;Napoli Parthenope;6302;M;6468
2018/2019;Napoli Pegaso - telematica;6307;F;16551
2018/2019;Napoli Pegaso - telematica;6307;M;23240
2018/2019;Napoli Vanvitelli;6306;F;13977
2018/2019;Napoli Vanvitelli;6306;M;9928
2018/2019;Novedrate e-Campus - telematica;1301;F;8006
2018/2019;Novedrate e-Campus - telematica;1301;M;7653
2018/2019;Padova;2801;F;31075
2018/2019;Padova;2801;M;27714
2018/2019;Palermo;8201;F;22876
2018/2019;Palermo;8201;M;16584
2018/2019;Parma;3401;F;14731
2018/2019;Parma;3401;M;11031
2018/2019;Pavia;1801;F;12802
2018/2019;Pavia;1801;M;10306
2018/2019;Perugia;5401;F;13389
2018/2019;Perugia;5401;M;10101
2018/2019;Perugia Stranieri;5403;F;671
2018/2019;Perugia Stranieri;5403;M;380
2018/2019;Piemonte Orientale;201;F;7733
2018/2019;Piemonte Orientale;201;M;4914
2018/2019;Pisa;5001;F;22719
2018/2019;Pisa;5001;M;21647
2018/2019;Reggio Calabria;8001;F;2492
2018/2019;Reggio Calabria;8001;M;2443
2018/2019;Reggio Calabria - Dante Alighieri;8003;F;641
2018/2019;Reggio Calabria - Dante Alighieri;8003;M;140
2018/2019;Roma  Mercatorum - telematica;5814;F;888
2018/2019;Roma  Mercatorum - telematica;5814;M;2553
2018/2019;Roma Biomedico;5808;F;1132
2018/2019;Roma Biomedico;5808;M;709
2018/2019;Roma Europea;5812;F;851
2018/2019;Roma Europea;5812;M;389
2018/2019;Roma Foro Italico;5806;F;555
2018/2019;Roma Foro Italico;5806;M;1576
2018/2019;Roma La Sapienza;5801;F;58360
2018/2019;Roma La Sapienza;5801;M;43529
2018/2019;Roma Link Campus;5817;F;472
2018/2019;Roma Link Campus;5817;M;1378
2018/2019;Roma LUISS;5805;F;4218
2018/2019;Roma LUISS;5805;M;5070
2018/2019;Roma LUMSA;5803;F;3984
2018/2019;Roma LUMSA;5803;M;1756
2018/2019;Roma Marconi - telematica;5810;F;4868
2018/2019;Roma Marconi - telematica;5810;M;4758
2018/2019;Roma Saint Camillus;5818;F;128
2018/2019;Roma Saint Camillus;5818;M;72
2018/2019;Roma San Raffaele - telematica;5816;F;2378
2018/2019;Roma San Raffaele - telematica;5816;M;3094
2018/2019;Roma Tor Vergata;5802;F;14534
2018/2019;Roma Tor Vergata;5802;M;13287
2018/2019;Roma Tre;5807;F;18492
2018/2019;Roma Tre;5807;M;12700
2018/2019;Roma UNICUSANO - telematica;5815;F;10122
2018/2019;Roma UNICUSANO - telematica;5815;M;14931
